ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1776161545107,2097152,-7.45581,-1.2981205,9.168275,-1.7898352,1.8387043,0.89675015,0
1776161545145,2270181,-8.912004,-1.2526144,7.6545997,-1.9083431,2.4349089,1.9205604,0
1776161545186,2270148,-10.622074,-0.47901124,6.890577,-1.9083431,2.4349089,1.9205604,0
1776161545225,2269827,-11.690269,-1.0681951,5.956505,-1.3231341,2.3273966,2.670703,0
1776161545267,2269407,-13.42908,-2.6489322,4.718261,-1.3390167,2.162463,2.734233,0
1776161545308,2268964,-13.0338955,-0.8358746,4.2703853,-3.4489453,0.874759,1.9620992,0
1776161545347,2268610,-13.802709,-2.6130064,4.6296434,-0.54611355,0.37873647,1.5601498,0
1776161545387,2268277,-10.887925,-5.043988,2.7830553,-0.54611355,0.37873647,1.5601498,0
1776161545425,2268064,-8.53119,1.7436008,2.517204,-4.010941,0.47891834,1.3023647,0
1776161545470,2267543,-7.8629694,-0.9340719,0.6251097,-1.0506883,0.35918877,1.287704,0
1776161545525,2073883,-6.564849,-1.621453,2.2274022,-1.0885619,0.47036624,1.3121386,0
1776161545547,2073883,-6.564849,-1.621453,2.2274022,-2.575408,0.61453044,1.2962561,0
1776161545585,2073721,-6.9408727,-1.0131087,2.4645128,-2.575408,0.61453044,1.2962561,0
1776161545624,2073592,-7.2258844,-1.745996,2.3519452,-2.575408,0.61453044,1.2962561,0
1776161545666,2073592,-7.647414,-3.1902149,2.2321923,-2.575408,0.61453044,1.2962561,0
1776161545711,2098040,-7.970747,-2.3806858,2.7231789,-2.575408,0.61453044,1.2962561,0
1776161545749,2098100,-7.970747,-2.3806858,2.7231789,-2.575408,0.61453044,1.2962561,0
1776161545786,2098048,-8.30845,-2.4956486,2.5890558,-2.575408,0.61453044,1.2962561,0
1776161545828,2097740,-8.461734,-2.6345618,2.0334027,-2.575408,0.61453044,1.2962561,0
1776161545867,2097031,-9.40299,-2.986635,1.9423906,0.7171558,-0.6731735,-1.2901474,0
1776161545906,2091504,-10.744222,-2.4597228,1.6477987,0.6072,-0.66950834,-1.3536774,0
1776161545948,2089743,-11.97049,-2.682463,1.9447856,0.6072,-0.66950834,-1.3536774,0
1776161545984,2088321,-12.9428835,-3.283622,1.8705388,0.6072,-0.66950834,-1.3536774,0
1776161546025,2087602,-11.704639,-2.9315488,1.7579713,0.6072,-0.66950834,-1.3536774,0
1776161546066,2086842,-10.102347,-1.9471806,1.3843424,0.6072,-0.66950834,-1.3536774,0
1776161546105,2086271,-10.219705,-1.6813295,1.5184656,3.4880404,-0.08674286,-2.6816983,0
1776161546163,2086222,-10.176594,-1.5567865,1.8465884,3.4978144,-0.16371189,-2.5057693,0
1776161546208,2086426,-9.7862,-1.405898,1.9783164,3.4978144,-0.16371189,-2.5057693,0
1776161546228,2086426,-9.949063,-1.0131087,2.308834,3.4978144,-0.16371189,-2.5057693,0
1776161546265,2087574,-9.793385,-0.8478499,2.3160193,3.4978144,-0.16371189,-2.5057693,0
1776161546310,2088358,-9.16588,-0.26585123,2.3160193,3.4978144,-0.16371189,-2.5057693,0
1776161546348,2088358,-9.16588,-0.26585123,2.3160193,3.4978144,-0.16371189,-2.5057693,0
1776161546388,2090138,-8.286895,0.091012135,3.0992026,3.4978144,-0.16371189,-2.5057693,0
1776161546425,2090904,-8.030623,0.23232046,3.3794243,3.4978144,-0.16371189,-2.5057693,0
1776161546468,2090441,-7.534847,0.2299254,4.184163,-0.036651913,0.48747048,-0.27000242,0
1776161546507,2089795,-7.082181,0.383209,4.4931254,-0.28588495,0.77457714,0.38728857,0
1776161546551,2089908,-6.916922,0.4047645,4.682335,-0.7134906,0.9663888,1.1374311,0
1776161546599,2090501,-7.6162786,-0.014370337,4.7062855,-0.7134906,0.9663888,1.1374311,0
1776161546626,2090501,-7.6162786,-0.014370337,4.7062855,-0.7134906,0.9663888,1.1374311,0
1776161546672,2092949,-8.885658,-0.0981973,4.126682,-0.7134906,0.9663888,1.1374311,0
1776161546707,2094037,-10.758593,-0.469431,3.870411,-0.7134906,0.9663888,1.1374311,0
1776161546746,2094861,-10.928641,-1.2909353,3.1518939,-0.7134906,0.9663888,1.1374311,0
1776161546785,2095341,-12.121379,-2.0190325,2.7375493,-0.7134906,0.9663888,1.1374311,0
1776161546829,2095550,-12.667452,-2.6177964,2.6441422,-0.7134906,0.9663888,1.1374311,0
1776161546865,2095483,-13.659005,-3.3985848,2.1220198,-0.7134906,0.9663888,1.1374311,0
1776161546907,2095420,-12.008812,-4.4164834,1.7843169,-1.4648548,-0.0720821,1.0409144,0
1776161546948,2095436,-7.9467964,-4.828433,1.5591816,-0.25778514,0.06352998,0.37384954,0
1776161547000,2095834,-8.787461,-3.6764112,1.6046877,-0.25778514,0.06352998,0.37384954,0
1776161547024,2096718,-8.787461,-3.6764112,1.6046877,-0.25778514,0.06352998,0.37384954,0
1776161547064,2096695,-9.953854,-3.6045597,1.4537991,-0.25778514,0.06352998,0.37384954,0
1776161547115,2095948,-9.769434,-3.4800167,1.2406391,-0.25778514,0.06352998,0.37384954,0
1776161547148,2095233,-10.492742,-3.1614742,1.2981205,-0.25778514,0.06352998,0.37384954,0
1776161547185,2094827,-10.931036,-2.213032,1.0993308,-0.25778514,0.06352998,0.37384954,0
1776161547252,2094758,-11.285504,-1.3819474,1.2550094,2.7085764,-0.29077184,-2.6804767,0
1776161547274,2094758,-11.285504,-1.3819474,1.2550094,2.660929,-0.34208453,-2.4801128,0
1776161547305,2095278,-10.775358,-1.3412315,1.2095034,2.660929,-0.34208453,-2.4801128,0
1776161547365,2095587,-10.016125,-1.2286638,1.4130832,2.660929,-0.34208453,-2.4801128,0
1776161547390,2095950,-9.285633,-1.1687875,1.7292305,2.660929,-0.34208453,-2.4801128,0
1776161547429,2096705,-8.706029,-1.0610099,1.5711569,2.660929,-0.34208453,-2.4801128,0
1776161547468,2097942,-9.34551,-1.233454,1.7867119,2.660929,-0.34208453,-2.4801128,0
1776161547507,2099414,-9.652077,-1.154417,2.2872787,2.660929,-0.34208453,-2.4801128,0
1776161547550,2102141,-10.626864,-0.72570205,3.2668567,-0.30787608,0.2602286,0.7281514,0
1776161547587,2102141,-11.5298,-0.75204766,4.265595,-0.8943067,0.26511553,1.1484267,0
1776161547646,2104019,-7.376773,-0.63468987,4.06441,-0.8943067,0.26511553,1.1484267,0
1776161547673,2105323,-7.376773,-0.63468987,4.06441,-0.8943067,0.26511553,1.1484267,0
1776161547705,2105672,-7.1923537,0.49098653,2.5004387,-0.8943067,0.26511553,1.1484267,0
1776161547758,2106279,-10.176594,-1.7052801,1.4514041,-0.8943067,0.26511553,1.1484267,0
1776161547797,2107293,-10.176594,-1.7052801,1.4514041,-0.8943067,0.26511553,1.1484267,0
1776161547827,2107690,-10.076001,-2.2872787,2.0190325,-0.8943067,0.26511553,1.1484267,0
1776161547868,2107518,-8.545561,-2.8046107,2.692043,-1.3683381,-0.0012217305,1.2999213,0
1776161547909,2107447,-8.227018,-2.0262175,2.5004387,-0.94806284,0.059864793,1.378112,0
1776161547949,2107821,-8.3731165,-1.9543658,2.040588,-0.94806284,0.059864793,1.378112,0
1776161547985,2108590,-7.8917103,-2.004662,1.8394032,-0.94806284,0.059864793,1.378112,0
1776161548027,2109624,-7.8965,-2.2441676,2.299254,-0.94806284,0.059864793,1.378112,0
1776161548077,2110772,-8.112056,-2.4357722,2.7088087,-0.94806284,0.059864793,1.378112,0
1776161548106,2112058,-8.71561,-2.687253,3.3913996,-0.94806284,0.059864793,1.378112,0
1776161548146,2113246,-10.02331,-2.8716724,3.8129294,-0.94806284,0.059864793,1.378112,0
1776161548186,2114627,-10.602914,-3.0321412,3.83688,-0.15760323,0.5742133,1.2363913,0
1776161548226,2114627,-12.2219715,-2.9962153,3.5207326,-0.22602014,0.21991149,-0.09896017,0
1776161548265,2116883,-14.06377,-3.8895712,3.5949793,0.6817256,-0.118507855,-0.83077675,0
1776161548313,2116689,-9.40299,-3.5279179,2.6704876,0.6817256,-0.118507855,-0.83077675,0
1776161548345,2116070,-8.653338,-1.5040953,2.471698,0.6817256,-0.118507855,-0.83077675,0
1776161548393,2115852,-9.556274,-1.7531811,2.378291,0.6817256,-0.118507855,-0.83077675,0
1776161548443,2116120,-11.570517,-2.521994,1.6813295,0.6817256,-0.118507855,-0.83077675,0
1776161548465,2116586,-11.570517,-2.521994,1.6813295,0.6817256,-0.118507855,-0.83077675,0
1776161548517,2115991,-10.868765,-1.6406134,1.235849,0.6817256,-0.118507855,-0.83077675,0
1776161548546,2115991,-10.171803,-1.1160961,1.4250585,0.6817256,-0.118507855,-0.83077675,0
1776161548586,2115565,-9.527534,-0.85503507,1.2478243,0.70616025,-0.8356637,-1.6688838,0
1776161548628,2115635,-8.780276,-0.77839327,1.1017258,0.002443461,-0.60231316,-1.4440855,0
1776161548664,2116345,-8.181512,-1.149627,1.0538247,-0.02687807,-0.3200934,-1.1374311,0
1776161548710,2117238,-7.554007,-1.3867376,1.2118984,-0.02687807,-0.3200934,-1.1374311,0
1776161548750,2118194,-7.110922,-1.3771573,1.6909096,-0.02687807,-0.3200934,-1.1374311,0
1776161548784,2119075,-7.7839327,-1.2526144,2.6177964,-0.02687807,-0.3200934,-1.1374311,0
1776161548825,2120276,-8.605437,-1.3292562,3.4824116,-0.02687807,-0.3200934,-1.1374311,0
1776161548867,2121272,-11.6830845,-1.0178989,3.6979668,-0.02687807,-0.3200934,-1.1374311,0
1776161548905,2121995,-13.663795,-0.8718004,4.0212994,-0.02687807,-0.3200934,-1.1374311,0
1776161548945,2122264,-10.832839,-0.91730654,5.3625307,-0.02687807,-0.3200934,-1.1374311,0
1776161549000,2122379,-8.816202,-0.78797346,3.9973488,-1.4611896,-0.14905111,1.9022343,0
1776161549025,2123521,-9.426941,-0.17244405,1.616663,-2.0500638,-0.20891592,2.0048597,0
1776161549067,2124956,-10.258026,-1.362787,1.3795524,-2.637716,-0.3042109,2.0610592,0
1776161549117,2125955,-10.210125,-2.1196246,1.6813295,-2.637716,-0.3042109,2.0610592,0
1776161549149,2126061,-9.496398,-3.0153759,1.7627614,-2.637716,-0.3042109,2.0610592,0
1776161549185,2125828,-8.552746,-3.3890045,1.5855272,-2.637716,-0.3042109,2.0610592,0
1776161549225,2125670,-7.9372163,-3.0992026,1.3268611,-2.637716,-0.3042109,2.0610592,0
1776161549267,2125505,-7.8533893,-3.8296947,1.2621946,-2.637716,-0.3042109,2.0610592,0
1776161549306,2125898,-7.961167,-3.6859915,1.8920944,-2.637716,-0.3042109,2.0610592,0
1776161549346,2126628,-7.894105,-2.9578943,2.4214017,-2.637716,-0.3042109,2.0610592,0
1776161549389,2127674,-8.31324,-3.1231532,2.9602895,-2.637716,-0.3042109,2.0610592,0
1776161549432,2128840,-10.040075,-3.537498,3.367449,1.5357152,0.49357912,-0.7012733,0
1776161549467,2129860,-11.30706,-3.1806345,3.2309308,1.3035865,0.30298916,-1.2657127,0
1776161549505,2130238,-12.37286,-2.2321923,3.0896225,1.0164797,0.056199603,-1.5613716,0
1776161549552,2130376,-14.178733,-2.7950306,3.5614486,1.0164797,0.056199603,-1.5613716,0
1776161549592,2130434,-11.685479,-2.5914507,2.9267588,1.0164797,0.056199603,-1.5613716,0
1776161549626,2130443,-10.286766,-1.6142678,2.215427,1.0164797,0.056199603,-1.5613716,0
1776161549665,2130544,-12.250712,-1.1400467,1.0873555,1.0164797,0.056199603,-1.5613716,0
1776161549710,2131035,-11.175332,-1.0849605,1.5735519,1.0164797,0.056199603,-1.5613716,0
1776161549744,2130512,-10.382568,-1.6118728,1.6573789,1.0164797,0.056199603,-1.5613716,0
1776161549787,2129820,-9.187435,-1.7052801,1.027479,0.5864306,-0.7672467,-1.4819591,0
1776161549827,2129810,-8.552746,-1.1592072,0.9604175,0.5864306,-0.7672467,-1.4819591,0
1776161549875,2130099,-7.7527966,-1.7723416,0.5915789,0.5864306,-0.7672467,-1.4819591,0
1776161549905,2130661,-7.7527966,-1.7723416,0.5915789,0.5864306,-0.7672467,-1.4819591,0
1776161549945,2131432,-7.2163043,-1.405898,1.154417,0.5864306,-0.7672467,-1.4819591,0
1776161549994,2132157,-6.988774,-1.362787,1.4394288,0.5864306,-0.7672467,-1.4819591,0
1776161550025,2132939,-7.580353,-1.4418238,2.179501,0.5864306,-0.7672467,-1.4819591,0
1776161550065,2133190,-9.644892,-1.3867376,2.9483142,0.5864306,-0.7672467,-1.4819591,0
1776161550128,2133374,-11.046,-1.1783676,3.3578687,-1.9046779,0.956615,2.7867672,0
1776161550146,2133870,-13.967968,-1.1232814,3.6931767,-1.9046779,0.956615,2.7867672,0
1776161550185,2134664,-12.35849,-1.9423906,4.802088,-1.5344934,0.9101892,2.7269025,0
1776161550227,2135168,-8.121635,-2.7447343,4.8835196,-1.5344934,0.9101892,2.7269025,0
1776161550270,2136388,-8.818597,-0.5772085,2.9602895,-1.5344934,0.9101892,2.7269025,0
1776161550308,2137973,-10.329877,-1.4274535,1.4394288,-1.5344934,0.9101892,2.7269025,0
1776161550351,2139258,-9.060497,-2.0741186,1.872934,-1.5344934,0.9101892,2.7269025,0
1776161550387,2139679,-9.271262,-3.403375,2.0525632,-1.5344934,0.9101892,2.7269025,0
1776161550433,2139841,-8.080919,-3.7243123,2.2369826,-1.5344934,0.9101892,2.7269025,0
1776161550468,2139841,-8.080919,-3.7243123,2.2369826,-1.5344934,0.9101892,2.7269025,0
1776161550505,2139457,-8.1910925,-3.278832,1.6980948,-1.5344934,0.9101892,2.7269025,0
1776161550546,2139926,-8.262944,-2.97945,2.2657232,-1.5344934,0.9101892,2.7269025,0
1776161550586,2139926,-8.262944,-2.97945,2.2657232,-1.5344934,0.9101892,2.7269025,0
1776161550634,2141474,-9.419756,-2.900413,3.6309052,-1.5344934,0.9101892,2.7269025,0
1776161550665,2141339,-9.419756,-2.900413,3.6309052,-1.5344934,0.9101892,2.7269025,0
1776161550705,2141266,-10.581358,-2.5483398,3.408165,-1.5344934,0.9101892,2.7269025,0
1776161550745,2141414,-10.933432,-2.2681181,3.154289,-1.5344934,0.9101892,2.7269025,0
1776161550788,2141513,-12.950068,-2.4980435,3.1063879,-1.5344934,0.9101892,2.7269025,0
1776161550832,2141821,-13.572783,-3.1447089,3.0010054,-1.5344934,0.9101892,2.7269025,0
1776161550865,2142039,-10.394544,-2.5698953,2.3687105,-1.5344934,0.9101892,2.7269025,0
1776161550909,2142029,-8.854523,-1.3436265,1.1376517,-1.5344934,0.9101892,2.7269025,0
1776161550963,2142128,-10.092767,-1.2861452,1.3220711,-0.7281514,0.118507855,1.9486601,0
1776161551027,2142468,-10.691531,-1.2909353,1.6430086,0.23823744,-0.8588765,-1.1472049,0
1776161551054,2142338,-10.200544,-1.791502,1.0658,0.23823744,-0.8588765,-1.1472049,0
1776161551098,2142348,-9.719138,-1.4657744,0.54367775,-0.02076942,-0.6059783,-1.5381587,0
1776161551118,2142348,-9.719138,-1.4657744,0.54367775,-0.089186326,-0.44104472,-1.5454891,0
1776161551148,2142516,-8.75872,-1.2621946,0.88856584,-0.172264,-0.36163223,-1.4538593,0
1776161551209,2142798,-8.320425,-1.3819474,0.5484679,0.004886922,0.15149458,-0.6010914,0
1776161551228,2143047,-8.320425,-1.3819474,0.5484679,0.004886922,0.15149458,-0.6010914,0
1776161551264,2142384,-6.768429,-1.6909096,1.4657744,0.0012217305,0.41172317,0.59131753,0
1776161551307,2141824,-7.1348724,-1.9567609,2.5291793,-0.010995574,0.63407815,1.4294246,0
1776161551346,2142206,-9.223361,-1.7675514,3.1399186,-0.31398472,0.66706485,1.971873,0
1776161551409,2143884,-13.515302,-0.2347155,3.1399186,-0.61941737,0.6927212,2.1649065,0
1776161551437,2143884,-13.515302,-0.2347155,3.1399186,-1.53205,0.7244862,2.5949554,0
1776161551468,2144499,-12.459083,-2.2705133,4.768557,-1.2852604,0.376293,1.7397442,0
1776161551506,2145050,-8.164746,-1.5448112,4.3805575,-1.4514158,-0.2443461,1.1178834,0
1776161551547,2146105,-8.291684,-0.94125706,1.4609842,-1.0421361,-0.3213151,1.4465289,0
1776161551586,2147832,-10.133483,-1.3100958,0.77839327,-1.3182472,-0.29932398,1.6151277,0
1776161551626,2149509,-10.284371,-2.7567096,1.149627,-2.411696,-0.3323107,1.5271631,0
1776161551665,2150237,-9.503583,-3.321943,1.9280202,-2.470339,-0.2773328,1.3439035,0
1776161551706,2149688,-7.6330442,-3.403375,2.3136244,-1.9205604,-0.07574729,0.93951076,0
1776161551749,2148471,-7.740822,-2.8237712,2.1387851,-1.9205604,-0.07574729,0.93951076,0
1776161551799,2147998,-8.11445,-3.0153759,1.8274279,-1.9205604,-0.07574729,0.93951076,0
1776161551831,2147840,-8.11445,-3.0153759,1.8274279,-1.9205604,-0.07574729,0.93951076,0
1776161551869,2147531,-8.133611,-2.852512,2.5315745,0.31887165,0.49235737,-0.26267207,0
1776161551905,2147427,-8.018648,-2.8285613,2.98424,0.6817256,0.52534413,-0.4654793,0
1776161551945,2148118,-8.622202,-2.936339,3.1231532,0.9859365,0.44959682,-0.6059783,0
1776161551989,2149283,-10.020915,-3.1854248,3.4800167,1.1496484,0.27000242,-0.9334021,0
1776161552026,2150387,-10.825654,-2.6297717,3.3961897,0.8906415,0.16126843,-1.1765264,0
1776161552068,2151216,-11.72859,-2.5411546,3.3147578,1.1166617,-0.0061086523,-1.328021,0
1776161552109,2151824,-11.72859,-2.5411546,3.3147578,1.9608774,-0.37140608,-1.4966198,0
1776161552147,2152309,-13.788339,-3.4273255,3.0465114,2.4263568,-0.72326446,-2.172237,0
1776161552186,2152593,-9.302399,-1.0897505,1.489725,2.4898868,-1.0665708,-2.2883012,0
1776161552226,2152467,-11.000493,-0.6011591,1.5927124,1.078788,-1.1252137,-1.7531832,0
1776161552273,2152381,-11.357356,-0.9077263,1.5543915,0.22357668,-1.105666,-1.4318681,0
1776161552308,2151814,-10.722667,-1.5663668,1.5855272,-0.20769419,-1.0274754,-1.4611896,0
